code;regionName
1;Republic of Adygeya
101;Republic of Adygeya
4;Republic of Altai
2;Republic of Bashkortostan
102;Republic of Bashkortostan
702;Republic of Bashkortostan
3;Republic of Buryatia
103;Republic of Buryatia
5;Republic of Dagestan
180;Donetsk Republic
6;Republic of Ingushetia
7;Republic of Kabardino-Balkaria
8;Republic of Kalmykia
9;Karachay-Cherkess Republic
109;Karachay-Cherkess Republic
10;Republic of Karelia
11;Republic of Komi
111;Republic of Komi
82;Republic of Crimea
182;Republic of Crimea
181;Lugansk Republic
12;Republic of Mari El
13;Republic of Mordovia
113;Republic of Mordovia
14;Republic of Sakha (Yakutia)
15;Republic of North Ossetia-Alania
16;Republic of Tatarstan
116;Republic of Tatarstan
716;Republic of Tatarstan
17;Republic of Tyva
18;Republic of Udmurtia
118;Republic of Udmurtia
19;Republic of Khakassia
20;Chechen Republic
95;Chechen Republic
21;Chuvash Republic
121;Chuvash Republic
22;Altai Territory
122;Altai Territory
75;Transbaikal Territory
80;Transbaikal Territory
41;Kamchatsky Krai
23;Krasnodar Krai
93;Krasnodar Krai
123;Krasnodar Krai
193;Krasnodar Krai
24;Krasnoyarsky Krai
84;Krasnoyarsky Krai
88;Krasnoyarsky Krai
124;Krasnoyarsky Krai
59;Perm Territory
81;Perm Territory
159;Perm Territory
25;Primorsky Krai
125;Primorsky Krai
725;Primorsky Krai
26;Stavropol Territory
126;Stavropol Territory
27;Khabarovsk Territory
28;Amur oblast
29;Arkhangelsk oblast
30;Astrakhan oblast
130;Astrakhan oblast
31;Belgorod oblast
32;Bryansk oblast
33;Vladimir oblast
34;Volgograd oblast
134;Volgograd oblast
35;Vologda oblast
36;Voronezh oblast
136;Voronezh oblast
185;Zaporozhye oblast
37;Ivanovo oblast
38;Irkutsk oblast
85;Irkutsk oblast
138;Irkutsk oblast
39;Kaliningrad oblast
91;Kaliningrad oblast
139;Kaliningrad oblast
40;Kaluga oblast
42;Kemerovo oblast
142;Kemerovo oblast
43;Kirov oblast
44;Kostroma oblast
45;Kurgan oblast
46;Kursk oblast
47;Leningrad oblast
147;Leningrad oblast
48;Lipetsk oblast
49;Magadan oblast
50;Moscow oblast
90;Moscow oblast
150;Moscow oblast
190;Moscow oblast
750;Moscow oblast
790;Moscow oblast
51;Murmansk oblast
52;Nizhny Novgorod oblast
152;Nizhny Novgorod oblast
252;Nizhny Novgorod oblast
53;Novgorod oblast
54;Novosibirsk oblast
154;Novosibirsk oblast
754;Novosibirsk oblast
55;Omsk oblast
155;Omsk oblast
56;Orenburg oblast
156;Orenburg oblast
57;Orel oblast
58;Penza oblast
158;Penza oblast
60;Pskov oblast
61;Rostov oblast
161;Rostov oblast
761;Rostov oblast
62;Ryazan oblast
63;Samara oblast
163;Samara oblast
763;Samara oblast
64;Saratov oblast
164;Saratov oblast
65;Sakhalin oblast
66;Sverdlovsk oblast
96;Sverdlovsk oblast
196;Sverdlovsk oblast
67;Smolensk oblast
68;Tambov oblast
69;Tver oblast
169;Tver oblast
70;Tomsk oblast
71;Tula oblast
72;Tyumen oblast
172;Tyumen oblast
73;Ulyanovsk oblast
173;Ulyanovsk oblast
184;Kherson oblast
74;Chelyabinsk oblast
174;Chelyabinsk oblast
774;Chelyabinsk oblast
76;Yaroslavl oblast
77;Moscow
97;Moscow
99;Moscow
177;Moscow
197;Moscow
199;Moscow
777;Moscow
797;Moscow
799;Moscow
977;Moscow
78;St. Petersburg
98;St. Petersburg
178;St. Petersburg
198;St. Petersburg
92;Sevastopol
192;Sevastopol
79;Jewish Autonomous oblast
83;Nenets Autonomous Okrug
86;Khanty-Mansiysk Autonomous Okrug - Yugra
186;Khanty-Mansiysk Autonomous Okrug - Yugra
87;Chukotka Autonomous Okrug
89;Yamalo-Nenets Autonomous Okrug
94;Territories outside the Russian Federation and serviced by the Department of Regime Facilities of the Ministry of Internal Affairs of Russia, Baikonur.
188;Kharkov oblast
